,ProductKey,ProductName,Brand,Color,UnitCostUSD,UnitPriceUSD,SubcategoryKey,Subcategory,CategoryKey,Category,Transformed_Unit_Cost
0,1,Contoso 512MB MP3 Player E51 Silver,Contoso,Silver,6.62,12.99,101,MP4&MP3,1,Audio,2.030776369698555
1,2,Contoso 512MB MP3 Player E51 Blue,Contoso,Blue,6.62,12.99,101,MP4&MP3,1,Audio,2.030776369698555
2,3,Contoso 1G MP3 Player E100 White,Contoso,White,7.4,14.52,101,MP4&MP3,1,Audio,2.128231705849268
3,4,Contoso 2G MP3 Player E200 Silver,Contoso,Silver,11.0,21.57,101,MP4&MP3,1,Audio,2.4849066497880004
4,5,Contoso 2G MP3 Player E200 Red,Contoso,Red,11.0,21.57,101,MP4&MP3,1,Audio,2.4849066497880004
5,6,Contoso 2G MP3 Player E200 Black,Contoso,Black,11.0,21.57,101,MP4&MP3,1,Audio,2.4849066497880004
6,7,Contoso 2G MP3 Player E200 Blue,Contoso,Blue,11.0,21.57,101,MP4&MP3,1,Audio,2.4849066497880004
7,8,Contoso 4G MP3 Player E400 Silver,Contoso,Silver,30.58,59.99,101,MP4&MP3,1,Audio,3.452524008827496
8,9,Contoso 4G MP3 Player E400 Black,Contoso,Black,30.58,59.99,101,MP4&MP3,1,Audio,3.452524008827496
9,10,Contoso 4G MP3 Player E400 Green,Contoso,Green,30.58,59.99,101,MP4&MP3,1,Audio,3.452524008827496
10,11,Contoso 4G MP3 Player E400 Orange,Contoso,Orange,30.58,59.99,101,MP4&MP3,1,Audio,3.452524008827496
11,12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Blue,35.72,77.68,101,MP4&MP3,1,Audio,3.6033215657522897
12,13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,Black,35.72,77.68,101,MP4&MP3,1,Audio,3.6033215657522897
13,14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,Silver,35.72,77.68,101,MP4&MP3,1,Audio,3.6033215657522897
14,15,Contoso 4GB Flash MP3 Player E401 White,Contoso,White,35.72,77.68,101,MP4&MP3,1,Audio,3.6033215657522897
15,16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,White,50.56,109.95,101,MP4&MP3,1,Audio,3.9427461780709865
16,17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,Red,50.56,109.95,101,MP4&MP3,1,Audio,3.9427461780709865
17,18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,Green,50.56,109.95,101,MP4&MP3,1,Audio,3.9427461780709865
18,19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,Pink,50.56,109.95,101,MP4&MP3,1,Audio,3.9427461780709865
19,20,Contoso 8GB MP3 Player new model M820 Black,Contoso,Black,61.62,134.0,101,MP4&MP3,1,Audio,4.1370847158982595
20,21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,Blue,61.62,134.0,101,MP4&MP3,1,Audio,4.1370847158982595
21,22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,Yellow,61.62,134.0,101,MP4&MP3,1,Audio,4.1370847158982595
22,23,Contoso 8GB MP3 Player new model M820 White,Contoso,White,61.62,134.0,101,MP4&MP3,1,Audio,4.1370847158982595
23,24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Blue,91.93,199.9,101,MP4&MP3,1,Audio,4.531846521569248
24,25,Contoso 16GB Mp5 Player M1600 Black,Contoso,Black,91.93,199.9,101,MP4&MP3,1,Audio,4.531846521569248
25,26,Contoso 16GB Mp5 Player M1600 Green,Contoso,Green,91.93,199.9,101,MP4&MP3,1,Audio,4.531846521569248
26,27,Contoso 16GB Mp5 Player M1600 White,Contoso,White,91.93,199.9,101,MP4&MP3,1,Audio,4.531846521569248
27,28,Contoso 16GB Mp5 Player M1600 Red,Contoso,Red,91.93,199.9,101,MP4&MP3,1,Audio,4.531846521569248
28,29,Contoso 32GB Video MP3 Player M3200 White,Contoso,White,84.49,255.0,101,MP4&MP3,1,Audio,4.448399410038142
29,30,Contoso 32GB Video MP3 Player M3200 Red,Contoso,Red,84.49,255.0,101,MP4&MP3,1,Audio,4.448399410038142
30,31,Contoso 32GB Video MP3 Player M3200 Orange,Contoso,Orange,84.49,255.0,101,MP4&MP3,1,Audio,4.448399410038142
31,32,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,Pink,84.49,255.0,101,MP4&MP3,1,Audio,4.448399410038142
32,33,Contoso 32GB Video MP3 Player M3200 Black,Contoso,Black,84.49,255.0,101,MP4&MP3,1,Audio,4.448399410038142
33,34,Contoso 4GB Portable MP3 Player M450 Black,Contoso,Black,48.92,95.95,101,MP4&MP3,1,Audio,3.9104217240611723
34,35,Contoso 4GB Portable MP3 Player M450 White,Contoso,White,48.92,95.95,101,MP4&MP3,1,Audio,3.9104217240611723
35,36,Contoso 4GB Portable MP3 Player M450 Yellow,Contoso,Yellow,48.92,95.95,101,MP4&MP3,1,Audio,3.9104217240611723
36,37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,Contoso,Silver,99.14,299.23,101,MP4&MP3,1,Audio,4.606569206901798
37,38,Contoso 8GB Clock & Radio MP3 Player X850 Black,Contoso,Black,99.14,299.23,101,MP4&MP3,1,Audio,4.606569206901798
